sex,race_cat,byear,dob,id,list1_17,list1_18,list1_19,list2_17,list2_18,list2_19,list3_17,list3_18,list3_19,list4_17,list4_18,list4_19
F,NONWHITE,2000,2000-09-02,65,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2000,2000-07-16,66,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,1999,1999-05-19,67,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2002,2002-12-26,68,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2003,2003-01-07,69,1,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2002,2002-10-16,70,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,1999,1999-01-05,71,1,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2002,2002-12-06,72,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,1999,1999-05-11,73,0,0,0,1,0,0,1,0,0,0,0,0
F,NONWHITE,2000,2000-07-20,74,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2003,2003-06-25,75,0,0,0,0,0,0,1,0,0,0,0,0
F,NONWHITE,2000,2000-12-23,76,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2001,2001-05-03,77,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2003,2003-09-11,78,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2000,2000-03-25,79,0,0,0,0,0,0,1,0,0,0,0,0
F,NONWHITE,2001,2001-04-24,80,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2001,2001-12-01,28117,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2002,2002-01-12,82,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,1999,1999-03-05,83,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2004,2004-03-15,84,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2000,2000-07-16,85,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2000,2000-08-20,86,0,0,0,1,0,0,1,0,0,0,0,0
F,NONWHITE,2003,2003-10-25,87,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2002,2002-01-19,88,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2004,2004-09-24,89,1,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2003,2003-01-14,90,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2004,2004-05-15,91,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2004,2004-04-03,92,1,0,0,1,0,0,1,0,0,1,0,0
F,NONWHITE,2002,2002-12-07,93,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2002,2002-07-26,94,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2001,2001-04-12,95,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2001,2001-07-28,96,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2000,2000-03-04,97,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,1999,1999-12-24,98,1,0,0,1,0,0,1,0,0,1,0,0
F,NONWHITE,2003,2003-10-17,99,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2004,2004-10-20,28159,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2000,2000-09-10,28404,1,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2002,2002-12-02,102,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2004,2004-12-12,103,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2000,2000-03-07,28534,1,1,0,1,0,0,1,1,0,0,0,0
F,NONWHITE,1999,1999-11-24,105,0,0,0,0,0,0,0,0,0,1,0,0
F,NONWHITE,2001,2001-12-24,106,1,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2003,2003-07-09,107,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2000,2000-05-20,108,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2004,2004-06-20,109,0,0,0,0,0,0,1,0,0,0,0,0
F,NONWHITE,1999,1999-05-25,110,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2004,2004-09-07,111,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,1999,1999-07-11,112,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2003,2003-08-12,113,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2003,2003-06-26,114,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2000,2000-08-15,115,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2000,2000-11-05,116,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2003,2003-01-04,117,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2003,2003-12-09,118,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2002,2002-03-01,119,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2002,2002-01-21,120,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2003,2003-12-15,121,0,0,0,0,0,0,0,0,0,1,0,0
F,NONWHITE,2004,2004-06-01,122,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,1999,1999-06-23,123,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2002,2002-11-17,124,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2002,2002-07-19,125,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2002,2002-05-09,126,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2001,2001-12-14,127,0,0,0,1,0,0,1,0,0,1,0,0
F,NONWHITE,2003,2003-03-26,128,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2001,2001-08-21,129,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,1999,1999-02-12,130,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2003,2003-12-10,131,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2002,2002-01-17,132,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,1999,1999-06-03,133,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2004,2004-06-14,134,0,0,0,0,0,0,0,0,0,1,0,0
F,NONWHITE,2004,2004-05-18,135,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2004,2004-08-25,136,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,1999,1999-05-11,137,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2004,2004-08-05,138,1,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2002,2002-09-19,139,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2000,2000-10-12,140,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2004,2004-09-20,141,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,1999,1999-05-12,142,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2000,2000-12-11,143,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2001,2001-07-03,144,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2004,2004-08-16,145,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2004,2004-07-08,146,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2001,2001-04-17,147,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2001,2001-07-22,148,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2003,2003-11-10,149,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2001,2001-05-18,150,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2004,2004-11-24,151,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2001,2001-05-01,152,0,0,0,0,0,0,1,0,0,0,0,0
F,NONWHITE,2003,2003-04-09,153,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2004,2004-05-04,154,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2001,2001-04-10,155,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2004,2004-09-16,156,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2003,2003-11-24,157,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2001,2001-03-14,158,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2001,2001-03-14,159,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2002,2002-10-03,28302,0,0,0,1,1,0,0,0,0,0,0,0
F,NONWHITE,2000,2000-11-14,161,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2004,2004-07-10,162,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2000,2000-09-30,163,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,1999,1999-02-21,164,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,1999,1999-09-22,165,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2000,2000-07-28,28144,0,0,0,1,1,0,0,0,0,0,0,0
F,NONWHITE,1999,1999-11-30,167,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2001,2001-12-27,168,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2001,2001-04-03,169,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2000,2000-06-12,170,1,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2002,2002-01-06,171,1,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2004,2004-07-16,172,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2001,2001-08-04,173,1,0,0,1,0,0,1,0,0,0,0,0
F,NONWHITE,2004,2004-02-20,174,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2000,2000-03-26,175,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2003,2003-04-22,176,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2004,2004-10-08,177,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2003,2003-08-18,178,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,1999,1999-06-15,179,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2000,2000-03-25,180,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2004,2004-04-09,181,0,0,0,0,0,0,0,0,0,1,0,0
F,NONWHITE,2003,2003-06-08,182,1,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2000,2000-06-13,183,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,1999,1999-12-04,184,0,0,0,0,0,0,1,0,0,0,0,0
F,NONWHITE,2001,2001-10-27,28333,1,0,0,0,1,0,0,0,0,0,0,0
F,NONWHITE,2003,2003-12-04,186,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2001,2001-06-24,187,0,0,0,0,0,0,1,0,0,0,0,0
F,NONWHITE,2003,2003-04-02,188,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2003,2003-02-11,189,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2003,2003-10-14,190,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2003,2003-10-21,191,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2002,2002-01-09,192,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2004,2004-12-15,28566,0,0,0,1,1,0,0,0,0,0,0,0
F,NONWHITE,2004,2004-06-24,194,1,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2003,2003-03-13,195,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2000,2000-07-29,196,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2000,2000-06-13,197,1,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,1999,1999-10-01,198,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2004,2004-08-18,28799,1,0,0,0,0,0,1,0,0,0,0,0
F,NONWHITE,2001,2001-09-09,200,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2000,2000-02-05,201,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2003,2003-11-26,202,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2001,2001-05-17,203,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2000,2000-01-21,204,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2001,2001-10-28,205,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2000,2000-07-07,206,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2004,2004-01-15,207,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,1999,1999-09-30,208,1,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2001,2001-01-11,209,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,1999,1999-02-01,210,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2003,2003-09-18,211,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,1999,1999-09-18,212,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2004,2004-12-14,213,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2001,2001-01-13,214,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2000,2000-05-09,215,0,0,0,0,0,0,1,0,0,0,0,0
F,NONWHITE,1999,1999-08-16,216,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2002,2002-05-15,217,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2003,2003-10-06,218,1,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2000,2000-06-30,219,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2000,2000-03-28,220,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2000,2000-12-11,221,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2000,2000-09-12,222,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,1999,1999-03-15,223,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2001,2001-04-12,224,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2001,2001-02-12,225,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2002,2002-05-19,226,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2003,2003-10-25,227,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2000,2000-07-16,228,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,1999,1999-11-24,229,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2001,2001-04-27,28490,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2000,2000-07-15,28207,1,1,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2003,2003-04-16,232,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2002,2002-03-07,233,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,1999,1999-07-02,234,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,1999,1999-07-22,235,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2002,2002-10-01,236,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2003,2003-12-07,237,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2003,2003-06-25,238,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2000,2000-02-28,239,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2001,2001-08-27,240,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,1999,1999-10-27,241,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,1999,1999-05-06,28296,0,0,0,0,0,0,0,0,0,1,0,0
F,NONWHITE,2004,2004-05-09,243,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2000,2000-05-11,244,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,1999,1999-03-07,245,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2003,2003-07-02,246,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2004,2004-12-26,247,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2004,2004-09-16,248,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,1999,1999-12-30,249,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2002,2002-07-26,250,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2001,2001-11-05,251,0,0,0,0,0,0,1,0,0,0,0,0
F,NONWHITE,2002,2002-08-27,252,1,0,0,0,0,0,1,0,0,0,0,0
F,NONWHITE,2002,2002-05-23,253,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2003,2003-05-07,254,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,1999,1999-01-24,255,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2000,2000-11-09,256,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2001,2001-09-29,257,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2003,2003-08-20,258,0,0,0,0,0,0,1,0,0,0,0,0
F,NONWHITE,2002,2002-01-15,259,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2001,2001-09-12,260,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2000,2000-10-08,261,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2000,2000-12-02,28218,0,1,0,1,1,0,0,0,0,0,0,0
F,NONWHITE,1999,1999-06-13,28116,0,0,0,1,0,0,0,0,1,0,0,0
F,NONWHITE,1999,1999-09-01,264,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,1999,1999-07-26,265,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2001,2001-12-04,28349,0,0,1,1,0,0,0,0,0,0,0,0
F,NONWHITE,2001,2001-06-14,267,0,0,0,0,0,0,1,0,0,0,0,0
F,NONWHITE,1999,1999-02-02,268,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2002,2002-06-01,269,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2000,2000-09-08,270,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2000,2000-02-19,271,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2001,2001-02-27,272,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2004,2004-10-11,273,1,0,0,1,0,0,1,0,0,0,0,0
F,NONWHITE,1999,1999-04-23,274,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,1999,1999-06-19,275,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2003,2003-10-30,276,0,0,0,1,0,0,1,0,0,1,0,0
F,NONWHITE,1999,1999-11-24,277,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2004,2004-03-25,278,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2004,2004-09-03,279,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2001,2001-02-13,280,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2002,2002-11-20,281,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2003,2003-09-04,282,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2002,2002-05-07,283,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2000,2000-07-20,284,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,1999,1999-08-06,285,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,1999,1999-03-17,286,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2003,2003-01-08,28864,1,1,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2003,2003-05-07,288,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2004,2004-09-25,289,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2001,2001-08-21,290,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2003,2003-02-20,291,0,0,0,0,0,0,1,0,0,0,0,0
F,NONWHITE,2001,2001-01-11,292,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2001,2001-11-26,293,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2000,2000-07-10,28433,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2002,2002-12-26,295,0,0,0,0,0,0,0,0,0,1,0,0
F,NONWHITE,2002,2002-12-20,296,1,0,0,1,0,0,1,0,0,0,0,0
F,NONWHITE,1999,1999-10-26,297,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2003,2003-08-13,298,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2004,2004-02-28,299,0,0,0,0,0,0,1,0,0,0,0,0
F,NONWHITE,2002,2002-08-10,300,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,1999,1999-01-22,301,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2002,2002-08-21,302,1,0,0,0,0,0,1,0,0,0,0,0
F,NONWHITE,2003,2003-12-18,303,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2004,2004-09-03,304,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2003,2003-03-15,305,1,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2003,2003-03-06,306,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2004,2004-04-17,28887,0,0,0,1,0,0,0,0,0,0,0,0
